,PROTID,Protein,Names,NN1,NN2,NN3,NO1,NO2,NO3,ON1,ON2,ON3,OO1,OO2,OO3
1,m.10260,Uncharacterized protein (m.10260),Unch. protein (m.10260),12.09166667,5.416866667,0,2.731533333,2.871833333,0,2.7262,0,0,9.7583,12.51356667,12.75613333
2,m.10928,Peroxidasin (m.10928),PXDN (m.10928),0,4.1956,0,1.486533333,0.810533333,0,8.7774,8.9233,7.0952,14.50456667,18.22346667,14.20186667
3,m.12572,Peroxidasin homolog (m.12572),PXDN homolog (m.12572),0,1.939366667,0,0,0,0,0,0,2.5581,0,0,0
4,m.12818,Superoxide dismutase 1 (m.12818),SOD1 (m.12818),86.1052,94.29356667,84.73463333,73.82436667,88.10626667,71.0768,66.90353333,126.591,77.87326667,78.08406667,79.47183333,87.48086667
5,m.13400,Thioredoxin reductase 2 (m.13400),TrxRs2 (m.13400),1.3458,0,0,0,0,0,0,0,0,0,0,0
6,m.1440,Peroxidasin (m.1440),PXDN (m.1440),1.699466667,2.218866667,5.6246,7.510566667,3.7897,2.069333333,2.3619,3.91815,0,3.737333333,0,0
7,m.15200,Peroxidasin (m.15200),PXDN (m.15200),3.593066667,1.563733333,0,3.918433333,1.691033333,0,1.605266667,10.7571,0,6.643633333,4.658633333,6.5118
8,m.15220,Catalase  (m.15220),Catalase  (m.15220),1.3405,12.10766667,0,7.484833333,10.14883333,3.4504,2.6279,10.46945,1.631533333,17.14616667,24.371,14.4675
9,m.16208,m.16208,m.16208,0,0,0,0,0,0,0,0,11.10026667,0,0,0
10,m.17686,Peroxidasin homolog (m.17686),PXDN homolog (m.17686),23.1385,2.977166667,13.97,15.2115,5.9582,6.870933333,24.63326667,33.0026,16.6119,6.864833333,3.470666667,3.528366667
11,m.17739,Peroxiredoxin-4 (m.17739),Prx-4 (m.17739),11.00103333,16.46746667,13.8475,9.3064,9.766866667,11.388,16.04186667,40.47015,31.09483333,48.6809,34.48813333,40.3426
12,m.19482,m.19482,m.19482,0,52.60646667,0,0,99.1652,0,183.9271667,34.29385,112.8233667,182.0880333,99.2399,132.8311667
13,m.19801,Glutathione peroxidase (m.19801),GPX (m.19801),0,0,0,0,0,0,10.4354,4.163,0,11.11,0,7.524766667
14,m.24169,Allene oxide synthase (m.24169),AOS (m.24169),0,6.041866667,0,6.093433333,0,0,13.50943333,17.724,0,0,0,0
15,m.2744,Peroxinectin A (m.2744),Peroxinectin A (m.2744),3.1767,5.619533333,4.4438,8.081166667,5.935366667,5.241166667,5.145566667,6.5017,2.748866667,0,0,0
16,m.29841,m.29841,m.29841,0,0,0,0,0,0,0,3.13825,0,0,0,0
17,m.347,Catalase (m.347),Catalase (m.347),48.85106667,248.738,84.55706667,78.5975,164.2314333,55.4998,76.40193333,229.2358,160.1392,142.5382667,131.4235,135.4561333
18,m.3872,Allene oxide synthase (m.3872),AOS (m.3872),0,2.5833,0.827133333,0.900166667,0.9464,0,0.997866667,7.5547,0,1.105533333,0,0
19,m.3943,Peroxinectin (m.3943),Peroxinectin (m.3943),0,0,0,0,0,0,4.178633333,0,0,0,0,0
20,m.595,Thioredoxin reductase 3 (m.595),TrxRs3 (m.595),18.71383333,32.0985,21.84793333,31.36693333,26.97253333,30.21966667,14.66313333,27.8415,17.75596667,16.3213,12.3742,12.41746667
21,m.6174,Peroxiredoxin-1 (m.6174),Prx-1 (m.6174),579.4432,389.5807667,652.6955333,635.9997333,432.1743,675.9969667,485.4747,368.22985,364.1463333,320.4942667,344.9299667,329.0621333
22,m.6233,Superoxide dismutase 2 (m.6233),SOD2 (m.6233),101.3306,61.10166667,19.4935,13.25766667,45.91506667,2.444633333,46.0547,14.9828,59.09026667,45.55573333,30.59896667,30.70596667
23,m.7674,Glutathione reductase (m.7674),GR (m.7674),64.40503333,60.49533333,26.65836667,44.46256667,58.27533333,19.1093,42.37706667,26.7639,53.22616667,54.4735,51.65133333,53.41593333
24,m.8233,Formate acetyltransferase 2 (m.8233),pflB2 (m.8233),54.40363333,102.5407,66.82923333,67.84803333,119.0318333,73.57006667,70.64546667,69.4914,78.31183333,87.68306667,97.9138,96.03956667
25,m.9432,Peroxidasin homolog (m.9432),PXDN homolog (m.9432),10.39403333,11.45796667,11.70383333,11.73966667,4.666833333,6.437233333,2.463,5.61415,9.788933333,0.970433333,1.842833333,2.7578
26,m.9595,Peroxiredoxin-6 (m.9595),Prx-6 (m.9595),445.2841333,450.962,413.1216,394.0564667,409.4024667,523.2969667,343.7070333,226.91355,299.672,344.4856667,357.0962,365.3863333
27,m.9657,Peroxidasin homolog (m.9657),PXDN homolog (m.9657),0,1.7503,0,0,0,0,0.8984,0,0,0,0,0
