"","Protein","Treatment","NSAF","origin","Treatment.label","group"
"1","Unch. protein (m.10260)","NN",0.156172226726875,"N coral","N→N","Detoxification"
"2","PXDN (m.10928)","NN",-0.734833625672868,"N coral","N→N","Detoxification"
"3","PXDN homolog (m.12572)","NN",0.61618673011856,"N coral","N→N","Detoxification"
"4","SOD1 (m.12818)","NN",0.647411595889986,"N coral","N→N","Detoxification"
"5","TrxRs2 (m.13400)","NN",1.5,"N coral","N→N","Detoxification"
"6","PXDN (m.1440)","NN",0.314381413439647,"N coral","N→N","Detoxification"
"7","PXDN (m.15200)","NN",-0.842001904022494,"N coral","N→N","Detoxification"
"8","Catalase  (m.15220)","NN",-0.641177984150311,"N coral","N→N","Detoxification"
"9","m.16208","NN",-0.5,"N coral","N→N","Detoxification"
"10","PXDN homolog (m.17686)","NN",0.0397886722366272,"N coral","N→N","Detoxification"
"11","Prx-4 (m.17739)","NN",-0.683260197225563,"N coral","N→N","Detoxification"
"12","m.19482","NN",-0.977052611876826,"N coral","N→N","Detoxification"
"13","GPX (m.19801)","NN",-0.853526089668562,"N coral","N→N","Detoxification"
"14","AOS (m.24169)","NN",-0.345549369596498,"N coral","N→N","Detoxification"
"15","Peroxinectin A (m.2744)","NN",0.18406983797871,"N coral","N→N","Detoxification"
"16","m.29841","NN",-0.5,"N coral","N→N","Detoxification"
"17","Catalase (m.347)","NN",-0.0971306156612354,"N coral","N→N","Detoxification"
"18","AOS (m.3872)","NN",-0.0948487611873629,"N coral","N→N","Detoxification"
"19","Peroxinectin (m.3943)","NN",-0.5,"N coral","N→N","Detoxification"
"20","TrxRs3 (m.595)","NN",0.349860932342026,"N coral","N→N","Detoxification"
"21","Prx-1 (m.6174)","NN",0.651152866729078,"N coral","N→N","Detoxification"
"22","SOD2 (m.6233)","NN",1.29507864768332,"N coral","N→N","Detoxification"
"23","GR (m.7674)","NN",0.650091307147576,"N coral","N→N","Detoxification"
"24","pflB2 (m.8233)","NN",-0.739110452504497,"N coral","N→N","Detoxification"
"25","PXDN homolog (m.9432)","NN",1.17080863699586,"N coral","N→N","Detoxification"
"26","Prx-6 (m.9595)","NN",0.764192290844002,"N coral","N→N","Detoxification"
"27","PXDN homolog (m.9657)","NN",1.29539616756913,"N coral","N→N","Detoxification"
"28","Unch. protein (m.10260)","NO",-0.655018709692936,"N coral","N→O","Detoxification"
"29","PXDN (m.10928)","NO",-0.825666662927124,"N coral","N→O","Detoxification"
"30","PXDN homolog (m.12572)","NO",-0.850085668253331,"N coral","N→O","Detoxification"
"31","SOD1 (m.12818)","NO",-1.16163710350522,"N coral","N→O","Detoxification"
"32","TrxRs2 (m.13400)","NO",-0.5,"N coral","N→O","Detoxification"
"33","PXDN (m.1440)","NO",1.23240884643567,"N coral","N→O","Detoxification"
"34","PXDN (m.15200)","NO",-0.766956506236906,"N coral","N→O","Detoxification"
"35","Catalase  (m.15220)","NO",-0.260561898448984,"N coral","N→O","Detoxification"
"36","m.16208","NO",-0.5,"N coral","N→O","Detoxification"
"37","PXDN homolog (m.17686)","NO",-0.427238873534798,"N coral","N→O","Detoxification"
"38","Prx-4 (m.17739)","NO",-0.935457660516746,"N coral","N→O","Detoxification"
"39","m.19482","NO",-0.712015079356895,"N coral","N→O","Detoxification"
"40","GPX (m.19801)","NO",-0.853526089668562,"N coral","N→O","Detoxification"
"41","AOS (m.24169)","NO",-0.34183735845845,"N coral","N→O","Detoxification"
"42","Peroxinectin A (m.2744)","NO",0.914450475652995,"N coral","N→O","Detoxification"
"43","m.29841","NO",-0.5,"N coral","N→O","Detoxification"
"44","Catalase (m.347)","NO",-1.29944711402141,"N coral","N→O","Detoxification"
"45","AOS (m.3872)","NO",-0.560797241416661,"N coral","N→O","Detoxification"
"46","Peroxinectin (m.3943)","NO",-0.5,"N coral","N→O","Detoxification"
"47","TrxRs3 (m.595)","NO",1.14312569114053,"N coral","N→O","Detoxification"
"48","Prx-1 (m.6174)","NO",1.00215544559933,"N coral","N→O","Detoxification"
"49","SOD2 (m.6233)","NO",-1.12834447618346,"N coral","N→O","Detoxification"
"50","GR (m.7674)","NO",-0.867174387713818,"N coral","N→O","Detoxification"
"51","pflB2 (m.8233)","NO",0.476294059498401,"N coral","N→O","Detoxification"
"52","PXDN homolog (m.9432)","NO",0.248389118025067,"N coral","N→O","Detoxification"
"53","Prx-6 (m.9595)","NO",0.844229470881941,"N coral","N→O","Detoxification"
"54","PXDN homolog (m.9657)","NO",-0.788309208280383,"N coral","N→O","Detoxification"
"55","Unch. protein (m.10260)","ON",-0.851062291990164,"O coral","O→N","Detoxification"
"56","PXDN (m.10928)","ON",0.250762878659488,"O coral","O→N","Detoxification"
"57","PXDN homolog (m.12572)","ON",1.0839846063881,"O coral","O→N","Detoxification"
"58","SOD1 (m.12818)","ON",0.998477552313086,"O coral","O→N","Detoxification"
"59","TrxRs2 (m.13400)","ON",-0.5,"O coral","O→N","Detoxification"
"60","PXDN (m.1440)","ON",-0.468392910201307,"O coral","O→N","Detoxification"
"61","PXDN (m.15200)","ON",0.352573834398644,"O coral","O→N","Detoxification"
