Protein,Len,NO,NO,NO,OO,OO,OO,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE,Uniprot
m.11401,144,0,2,0,0,0,0,-0.171,-0.2043,0.661809,0.661139,0.078837,Dipeptidyl-peptidase 5 OS=Pseudozyma hubeiensis (strain SY62) GN=PHSY_001159 PE=4 SV=1,B2RIT0
m.26906,143,6,4,1,9,9,7,1.106,2.9453,0,0,0.598055,Dipeptidyl-peptidase 5 OS=Pseudozyma hubeiensis (strain SY62) GN=PHSY_001159 PE=4 SV=1,B2RIT0
m.13739,134,2,0,3,0,0,0,-0.535,-0.7312,0.00065,0.625703,0.000025,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g79796 PE=4 SV=1,3266162
m.17144,187,3,1,2,2,1,1,-0.267,-0.3975,0.134166,0.651136,0.008109,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g79796 PE=4 SV=1,3266162
m.18373,191,0,0,6,10,12,12,1.711,4.1847,0,0,0.573461,Predicted protein OS=Nematostella vectensis GN=v1g237935 PE=4 SV=1,3266256
m.19166,267,0,1,0,0,0,2,0.496,0.6244,0.682702,0.055324,0.745317,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g196670 PE=4 SV=1,3266329
m.6498,107,1,0,0,1,1,1,0.178,0.2121,0.998987,0.508389,0.615419,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g196670 PE=4 SV=1,3266329
m.19695,105,13,1,3,0,0,1,-1.698,-2.4902,0,0.574124,0,Predicted protein OS=Nematostella vectensis GN=v1g196762 PE=4 SV=1,3266411
m.27819,169,1,2,0,2,1,0,0.245,0.3219,0.987804,0.38689,0.689639,Predicted protein OS=Nematostella vectensis GN=v1g196994 PE=4 SV=1,3266649
m.13710,208,0,0,1,2,1,2,0.74,0.9247,0.03727,0.001061,0.72159,Predicted protein OS=Nematostella vectensis GN=v1g238216 PE=4 SV=1,3266693
m.4309,396,0,2,0,2,2,4,0.967,1.5638,0,0,0.666934,Predicted protein OS=Nematostella vectensis GN=v1g197226 PE=4 SV=1,3266854
m.10807,572,82,92,82,82,87,87,0.235,2.71,0,0,0.605492,Predicted protein OS=Nematostella vectensis GN=v1g197490 PE=4 SV=1,3267080
m.9408,224,0,7,0,3,1,2,-0.162,-0.3107,0.328195,0.657392,0.024919,Predicted protein OS=Nematostella vectensis GN=v1g238751 PE=4 SV=1,3267537
m.35043,161,0,4,5,3,2,2,-0.171,-0.3413,0.247033,0.65537,0.017083,Predicted protein OS=Nematostella vectensis GN=v1g239031 PE=4 SV=1,3268046
m.29115,136,0,0,3,0,0,0,-0.406,-0.5421,0.018131,0.639403,0.000882,Predicted protein OS=Nematostella vectensis GN=v1g239078 PE=4 SV=1,3268118
m.24130,123,3,0,3,2,3,0,0.034,0.0613,1,0.610644,0.434124,Acyl-coenzyme A oxidase OS=Nematostella vectensis GN=v1g86003 PE=3 SV=1,F4JMK8
m.31184,221,10,18,10,11,15,13,0.273,1.1939,0.000274,0.000006,0.696595,Predicted protein OS=Nematostella vectensis GN=v1g239175 PE=4 SV=1,3268279
