Protein,Len,NO,NO,NO,ON,ON,ON,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE,
m.1,362,5,4,4,0,6,0,-0.222,-0.4827,0.020708,0.67849,0.001279,Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1,P21369
m.1000,214,43,16,35,43,22,19,0.194,1.274,0.000802,0.000034,0.689733,Myophilin OS=Echinococcus granulosus PE=2 SV=1,Q24799
m.10001,144,0,0,0,0,0,0,0.275,0.3011,0.999897,0.561348,0.623145,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_117755 PE=4 SV=1,3681368
m.10005,199,0,0,0,0,0,0,0.281,0.3295,1,0.535088,0.645,ER membrane protein complex subunit 8 OS=Rattus norvegicus GN=Emc8 PE=2 SV=1,Q5FVL2
m.10007,400,0,0,0,0,0,0,0.32,0.3845,1,0.476278,0.679832,E3 ubiquitin-protein ligase KCMF1 OS=Homo sapiens GN=KCMF1 PE=1 SV=2,Q9P0J7
m.10009,206,8,8,8,6,6,3,-0.176,-0.533,0.009874,0.673644,0.000577,Putative regulator of ribonuclease activity OS=Aromatoleum aromaticum (strain EbN1) GN=AZOSEA25360 PE=3 SV=1,Q5P203
m.10012,278,6,0,7,3,1,1,-0.827,-1.4445,0,0.622866,0,Roundabout homolog 1 OS=Mus musculus GN=Robo1 PE=1 SV=1,O89026
m.10015,205,21,19,29,19,13,7,-0.243,-1.2269,0,0.630281,0,Mesencephalic astrocyte-derived neurotrophic factor homolog OS=Drosophila grimshawi GN=Manf PE=3 SV=1,B4JT39
m.1002,498,0,0,0,0,0,0,0.301,0.343,1,0.521615,0.654429,Predicted protein OS=Nematostella vectensis GN=v1g240580 PE=4 SV=1,3270652
m.10023,149,0,0,0,0,0,0,0.346,0.4021,1,0.455351,0.689097,m.10023,
m.10038,212,5,1,2,0,1,0,-0.834,-1.1348,0,0.634029,0,Perlucin-like protein OS=Mytilus galloprovincialis PE=1 SV=1,P86854
m.1005,498,26,14,28,20,18,15,0.047,0.2587,1,0.595424,0.585044,Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1,Q13310
m.10055,770,1,0,1,0,0,2,0.53,0.6097,0.923844,0.180329,0.748586,CAD protein OS=Squalus acanthias GN=CAD PE=2 SV=1,Q91437
