Protein,Len,NN,NN,NN,NO,NO,NO,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE
m.1,362,5,5,8,5,4,4,-0.414,-1.1088,1,0.981552,0.999809,Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1
m.1000,214,30,28,39,43,16,35,-0.106,-0.7298,1,0.910395,1,Myophilin OS=Echinococcus granulosus PE=2 SV=1
m.10007,400,1,0,0,0,0,0,-0.145,-0.1758,0.456735,0.933752,1,E3 ubiquitin-protein ligase KCMF1 OS=Homo sapiens GN=KCMF1 PE=1 SV=2
m.10009,206,2,6,3,8,8,8,0.752,2.021,0.347481,0.071654,1,Putative regulator of ribonuclease activity OS=Aromatoleum aromaticum (strain EbN1) GN=AZOSEA25360 PE=3 SV=1
m.10012,278,13,4,3,6,0,7,-0.443,-1.2884,1,0.997944,0.801914,Roundabout homolog 1 OS=Mus musculus GN=Robo1 PE=1 SV=1
m.10015,205,17,13,18,21,19,29,0.274,1.5321,1,0.331368,1,Mesencephalic astrocyte-derived neurotrophic factor homolog OS=Drosophila grimshawi GN=Manf PE=3 SV=1
m.10038,212,3,2,0,5,1,2,0.223,0.3895,1,1,0.894175,Perlucin-like protein OS=Mytilus galloprovincialis PE=1 SV=1
m.1005,498,14,16,18,26,14,28,0.259,1.3819,1,0.466929,1,Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1
m.10055,770,0,0,0,1,0,1,-0.196,-0.2173,0.483622,0.894917,1,CAD protein OS=Squalus acanthias GN=CAD PE=2 SV=1
m.1007,159,0,0,0,1,1,0,-0.127,-0.1429,0.448016,0.972064,0.997994,Polyadenylate-binding protein 1-A OS=Xenopus laevis GN=pabpc1-a PE=1 SV=3
m.10080,526,33,44,23,22,14,28,-0.527,-3.3065,0.008428,0.990104,0.001204,Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2
m.10093,673,1,1,0,3,0,0,0.5,0.6607,1,1,0.953722,Integrin beta-1 OS=Ovis aries GN=ITGB1 PE=2 SV=1
m.10101,187,0,1,0,1,0,0,-0.038,-0.0429,0.487933,1,0.896311,Universal stress protein A-like protein OS=Arabidopsis thaliana GN=At3g01520 PE=1 SV=2
m.10110,697,0,1,0,1,0,0,-0.16,-0.1867,0.462025,0.921806,1,Transforming growth factor-beta-induced protein ig-h3 OS=Sus scrofa GN=TGFBI PE=1 SV=1
m.10111,222,8,5,5,5,3,3,-0.6,-1.4762,1,1,0.602661,Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85349 PE=4 SV=1
m.1013,969,0,0,1,1,3,0,0.404,0.5241,1,1,0.92697,Nck-associated protein 1 homolog OS=Nematostella vectensis GN=napA PE=3 SV=1
m.10132,182,1,4,0,1,2,0,-0.563,-0.8157,1,0.930976,1,ADP-ribosylation factor-like protein 8B-A OS=Danio rerio GN=arl8ba PE=2 SV=1
m.10133,155,0,0,0,0,0,1,-0.108,-0.1157,0.448849,1,0.965595,Selenoprotein O OS=Mus musculus GN=Selo PE=2 SV=4
m.10135,467,11,6,10,17,12,8,0.25,0.9604,1,0.908131,0.988888,"Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial (Fragment) OS=Columba livia GN=SUCLA2 PE=1 SV=1"
m.10138,474,0,0,1,4,2,6,1.38,2.0105,0.361178,0.074099,1,Neutrophil cytosol factor 2 OS=Bos taurus GN=NCF2 PE=2 SV=1
m.10139,271,0,2,0,0,0,0,-0.428,-0.5133,1,0.8531,1,Interphotoreceptor matrix proteoglycan 1 OS=Mus musculus GN=Impg1 PE=1 SV=1
m.10164,157,1,1,1,1,1,0,-0.131,-0.1445,0.448193,0.96909,1,m.10164
m.10168,220,2,0,0,1,0,0,-0.4,-0.5031,1,0.85099,1,Platelet-activating factor acetylhydrolase IB subunit gamma OS=Mus musculus GN=Pafah1b3 PE=1 SV=1
m.10171,529,0,0,1,0,0,0,-0.146,-0.164,0.452368,0.94661,1,Cleavage and polyadenylation specificity factor subunit 7 OS=Rattus norvegicus GN=Cpsf7 PE=2 SV=1
m.10182,249,3,1,0,0,0,2,-0.325,-0.459,1,0.842824,1,DnaJ homolog subfamily C member 8 OS=Homo sapiens GN=DNAJC8 PE=1 SV=2
m.10194,572,15,34,24,33,41,22,0.199,1.2602,1,0.58702,1,"Aspartate--tRNA ligase, cytoplasmic OS=Rattus norvegicus GN=Dars PE=2 SV=1"
m.10196,145,1,1,0,1,0,0,-0.042,-0.0477,0.483594,1,0.899813,Glutathione peroxidase 1 OS=Rattus norvegicus GN=Gpx1 PE=1 SV=4
m.10199,219,20,13,24,18,8,10,-0.566,-2.578,0.123707,0.998141,0.029942,Ras-related protein Rab-2 OS=Lymnaea stagnalis GN=RAB2 PE=2 SV=1
m.1020,1917,0,1,1,0,1,0,-0.189,-0.222,0.487858,0.891301,1,CCR4-NOT transcription complex subunit 1 OS=Mus musculus GN=Cnot1 PE=1 SV=2
m.10216,265,2,0,0,0,0,0,-0.386,-0.5099,1,0.852565,1,m.10216
m.10239,279,0,0,0,0,1,0,-0.188,-0.2149,0.481556,0.896776,1,Nucleolysin TIA-1 isoform p40 OS=Homo sapiens GN=TIA1 PE=1 SV=3
symbB1.EST_k37c20_4294|m.10241,223,0,0,0,0,0,1,-0.183,-0.2095,0.477147,0.902555,1,symbB1.EST_k37c20_4294 g.10241  ORF symbB1.EST_k37c20_4294 g.10241 symbB1.EST_k37c20_4294 m.10241 type:complete len:223 (-) symbB1.EST_k37c20_4294:77-745(-)
m.10254,141,5,2,11,2,1,8,-0.581,-1.5458,1,1,0.534547,m.10254
m.1026,324,2,1,0,3,1,0,0.081,0.1095,0.796296,1,0.843063,Peroxidasin homolog OS=Homo sapiens GN=PXDN PE=1 SV=2
m.10260,232,4,2,0,1,1,0,-1.045,-1.5054,1,1,0.574179,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85506 PE=4 SV=1
m.10303,381,0,1,0,1,0,0,-0.134,-0.1567,0.450365,0.954765,1,"DNA-directed RNA polymerase, mitochondrial OS=Mus musculus GN=Polrmt PE=2 SV=1"
m.10304,278,31,6,11,22,2,6,-0.562,-2.4654,0.185004,0.999943,0.04487,Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2
m.10324,680,12,7,25,12,15,6,-0.376,-1.534,1,1,0.546112,"1,4-alpha-glucan-branching enzyme OS=Homo sapiens GN=GBE1 PE=1 SV=3"
