Protein,Len,NN,NN,NN,OO,OO,OO,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE,
m.11401,144,0,1,0,0,0,0,0.047,0.0544,1,0.594467,0.528316,Dipeptidyl-peptidase 5 OS=Pseudozyma hubeiensis (strain SY62) GN=PHSY_001159 PE=4 SV=1,2718961
m.26906,143,2,3,1,9,9,7,1.675,3.4126,0,0,0.597617,Dipeptidyl-peptidase 5 OS=Pseudozyma hubeiensis (strain SY62) GN=PHSY_001159 PE=4 SV=1,2718961
m.13739,134,1,1,3,0,0,0,-0.442,-0.604,0.029725,0.660661,0.001554,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g79796 PE=4 SV=1,3266162
m.17144,187,5,0,2,2,1,1,-0.649,-0.9967,0.000023,0.633355,0.000001,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g79796 PE=4 SV=1,3266162
m.18373,191,1,0,0,10,12,12,2.623,4.1752,0,0,0.58482,Predicted protein OS=Nematostella vectensis GN=v1g237935 PE=4 SV=1,3266256
m.19166,267,1,2,0,0,0,2,0.14,0.1887,1,0.477966,0.65155,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g196670 PE=4 SV=1,3266329
m.6498,107,0,0,0,1,1,1,0.164,0.1954,1,0.47052,0.655949,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g196670 PE=4 SV=1,3266329
m.19695,105,5,0,0,0,0,1,-0.824,-1.1514,0.000001,0.625784,0,Predicted protein OS=Nematostella vectensis GN=v1g196762 PE=4 SV=1,3266411
m.27819,169,3,2,1,2,1,0,-0.298,-0.4276,0.248937,0.676284,0.018179,Predicted protein OS=Nematostella vectensis GN=v1g196994 PE=4 SV=1,3266649
m.13710,208,0,0,2,2,1,2,0.349,0.4653,0.941236,0.129375,0.743901,Predicted protein OS=Nematostella vectensis GN=v1g238216 PE=4 SV=1,3266693
m.4309,396,0,5,0,2,2,4,0.304,0.5975,0.619349,0.038461,0.747365,Predicted protein OS=Nematostella vectensis GN=v1g197226 PE=4 SV=1,3266854
m.6279,328,0,1,0,0,0,0,0.101,0.1133,1,0.55102,0.591032,Predicted protein OS=Nematostella vectensis GN=v1g197473 PE=4 SV=1,3267062
m.10807,572,86,107,71,82,87,87,0.129,1.5355,0,0,0.669847,Predicted protein OS=Nematostella vectensis GN=v1g197490 PE=4 SV=1,3267080
m.9408,224,2,7,0,3,1,2,-0.346,-0.697,0.007284,0.652839,0.000331,Predicted protein OS=Nematostella vectensis GN=v1g238751 PE=4 SV=1,3267537
