Protein,Len,ON,ON,ON,OO,OO,OO,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE,Uniprot_updated
m.1,362,0,6,0,0,0,0,-1.207,-1.5302,0,0.632799,0,Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1,P21369
m.1000,214,43,22,19,54,54,49,0.557,3.9753,0,0,0.596496,Myophilin OS=Echinococcus granulosus PE=2 SV=1,Q24799
m.10007,400,0,0,0,0,0,0,-0.067,-0.0803,1,0.506381,0.66159,E3 ubiquitin-protein ligase KCMF1 OS=Homo sapiens GN=KCMF1 PE=1 SV=2,Q9P0J7
m.10009,206,6,6,3,6,10,7,0.365,1.118,0.000002,0,0.6843,Putative regulator of ribonuclease activity OS=Aromatoleum aromaticum (strain EbN1) GN=AZOSEA25360 PE=3 SV=1,Q5P203
m.10012,278,3,1,1,0,0,0,-0.74,-0.8721,0.032122,0.6744,0.001975,Roundabout homolog 1 OS=Mus musculus GN=Robo1 PE=1 SV=1,O89026
m.10015,205,19,13,7,26,25,26,0.606,3.087,0,0,0.60635,Mesencephalic astrocyte-derived neurotrophic factor homolog OS=Drosophila grimshawi GN=Manf PE=3 SV=1,B4JT39
m.1002,498,0,0,0,4,3,0,1.002,1.3383,0,0,0.667247,Predicted protein OS=Nematostella vectensis GN=v1g240580 PE=4 SV=1,3270652
m.10023,149,0,0,0,1,1,0,-0.015,-0.0177,1,0.433151,0.697103,m.10023,
m.10038,212,0,1,0,2,1,0,0.214,0.2482,0.844024,0.100506,0.757454,Perlucin-like protein OS=Mytilus galloprovincialis PE=1 SV=1,P86854
m.1005,498,20,18,15,23,21,26,0.188,1.0084,0.000021,0.000001,0.69324,Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1,Q13310
m.10055,770,0,0,2,0,1,1,-0.484,-0.577,0.577391,0.700032,0.073779,CAD protein OS=Squalus acanthias GN=CAD PE=2 SV=1,Q91437
m.10061,510,0,1,0,0,0,0,-0.011,-0.0118,1,0.425631,0.699882,Cytochrome P450 3A11 OS=Mus musculus GN=Cyp3a11 PE=1 SV=1,Q64459
m.1007,159,0,2,0,1,0,0,-0.518,-0.5935,0.525599,0.699328,0.063085,Polyadenylate-binding protein 1-A OS=Xenopus laevis GN=pabpc1-a PE=1 SV=3,P20965
m.10080,526,21,18,11,25,20,17,0.142,0.7768,0.002263,0.000075,0.714101,Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2,Q14247
m.10093,673,2,0,0,4,5,2,0.984,1.6163,0,0,0.649223,Integrin beta-1 OS=Ovis aries GN=ITGB1 PE=2 SV=1,B0FYY4
m.10101,187,0,2,1,0,0,0,-0.468,-0.5959,0.5181,0.699209,0.061635,Universal stress protein A-like protein OS=Arabidopsis thaliana GN=At3g01520 PE=1 SV=2,Q8LGG8
m.10110,697,1,0,1,0,0,0,-0.056,-0.0619,1,0.486192,0.673243,Transforming growth factor-beta-induced protein ig-h3 OS=Sus scrofa GN=TGFBI PE=1 SV=1,O11780
m.10111,222,2,8,2,5,3,4,-0.109,-0.2638,1,0.644599,0.476994,Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85349 PE=4 SV=1,3660641
m.1013,969,0,0,0,1,0,0,-0.27,-0.3352,1,0.672538,0.372738,Nck-associated protein 1 homolog OS=Nematostella vectensis GN=napA PE=3 SV=1,A7RU46
m.10132,182,0,2,0,2,0,0,-0.091,-0.1246,1,0.550095,0.628864,ADP-ribosylation factor-like protein 8B-A OS=Danio rerio GN=arl8ba PE=2 SV=1,Q6NZW8
m.10133,155,0,1,0,0,0,0,-0.032,-0.0362,1,0.45609,0.687789,Selenoprotein O OS=Mus musculus GN=Selo PE=2 SV=4,Q9DBC0
m.10135,467,9,17,16,9,6,8,-0.676,-2.4937,0,0.606338,0,"Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial (Fragment) OS=Columba livia GN=SUCLA2 PE=1 SV=1",Q9YI37
m.10138,474,2,2,0,7,5,4,1.094,1.9991,0,0,0.63362,Neutrophil cytosol factor 2 OS=Bos taurus GN=NCF2 PE=2 SV=1,O77775
m.10139,271,7,0,1,2,3,2,-0.359,-0.7273,0.178185,0.688666,0.014454,Interphotoreceptor matrix proteoglycan 1 OS=Mus musculus GN=Impg1 PE=1 SV=1,Q8R1W8
m.10145,179,0,1,0,0,0,0,-0.148,-0.1648,1,0.583765,0.592903,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g223497 PE=4 SV=1,3287590
m.10146,361,0,1,0,0,0,0,-0.029,-0.0318,1,0.450726,0.690089,Cytoplasmic protein NCK2 OS=Homo sapiens GN=NCK2 PE=1 SV=2,O43639
